,feature,score,param
34,azimuth_median,0.84,"{'C': 386.1864498681863, 'kernel': 'sigmoid', 'gamma': 970.6258994601731, 'degree': 3, 'coef0': 930.8988137583872, 'random_state': 42}"
35,azimuth_variance,0.7333333333333333,"{'C': 0.65167832537719, 'kernel': 'rbf', 'gamma': 146.8024351536431, 'degree': 3, 'coef0': 68.06343969208547, 'random_state': 42}"
36,azimuth_standard_deviation,0.7733333333333333,"{'C': 0.7751532975602378, 'kernel': 'sigmoid', 'gamma': 533.4871130298078, 'degree': 5, 'coef0': 136.23082332328462, 'random_state': 42}"
37,azimuth_1st_percentile,0.7066666666666667,"{'C': 856.846867430293, 'kernel': 'sigmoid', 'gamma': 301.34057018462516, 'degree': 3, 'coef0': 950.5244901674088, 'random_state': 42}"
38,azimuth_99th_percentile,0.6666666666666666,"{'C': 974.2235236708133, 'kernel': 'rbf', 'gamma': 8.362433568628376, 'degree': 2, 'coef0': 834.2083240837055, 'random_state': 42}"
39,azimuth_displacement_between_99th_percentile_and_1st_percentile,0.6933333333333334,"{'C': 152.10659517607652, 'kernel': 'sigmoid', 'gamma': 252.45498777625212, 'degree': 4, 'coef0': 784.2239050889277, 'random_state': 42}"
40,azimuth_skewness,0.64,"{'C': 307.930208819031, 'kernel': 'sigmoid', 'gamma': 881.0974283900377, 'degree': 3, 'coef0': 58.63274824603795, 'random_state': 42}"
41,azimuth_kurtosis,0.68,"{'C': 326.07647181189117, 'kernel': 'sigmoid', 'gamma': 999.7270475003781, 'degree': 1, 'coef0': 565.0188121378239, 'random_state': 42}"
42,altitude_max,0.7333333333333333,"{'C': 999.7286818492822, 'kernel': 'sigmoid', 'gamma': 285.9072302794258, 'degree': 1, 'coef0': 164.15950214701812, 'random_state': 42}"
43,altitude_min,0.8666666666666667,"{'C': 0.2980874471701829, 'kernel': 'sigmoid', 'gamma': 759.6903098775941, 'degree': 2, 'coef0': 865.6426162410876, 'random_state': 42}"
44,altitude_mean,0.7333333333333333,"{'C': 480.5636605158071, 'kernel': 'sigmoid', 'gamma': 370.92893971945756, 'degree': 5, 'coef0': 759.083225474646, 'random_state': 42}"
45,altitude_median,0.6933333333333334,"{'C': 463.3828347934978, 'kernel': 'sigmoid', 'gamma': 610.8015938476125, 'degree': 4, 'coef0': 166.20427508129978, 'random_state': 42}"
46,altitude_variance,0.7066666666666667,"{'C': 215.60921742777865, 'kernel': 'sigmoid', 'gamma': 791.9420607962695, 'degree': 4, 'coef0': 610.5549596125663, 'random_state': 42}"
47,altitude_standard_deviation,0.6666666666666666,"{'C': 186.47564548066813, 'kernel': 'sigmoid', 'gamma': 566.3288830267137, 'degree': 1, 'coef0': 999.3024402981358, 'random_state': 42}"
48,altitude_1st_percentile,0.6533333333333333,"{'C': 281.84103520187966, 'kernel': 'sigmoid', 'gamma': 658.7232905198433, 'degree': 2, 'coef0': 849.9388502030206, 'random_state': 42}"
49,altitude_99th_percentile,0.68,"{'C': 234.05751585253503, 'kernel': 'sigmoid', 'gamma': 879.3894392643232, 'degree': 5, 'coef0': 318.9502573094483, 'random_state': 42}"
50,altitude_displacement_between_99th_percentile_and_1st_percentile,0.6666666666666666,"{'C': 862.5785523369685, 'kernel': 'sigmoid', 'gamma': 955.6172574298611, 'degree': 4, 'coef0': 195.97701224067393, 'random_state': 42}"
51,altitude_skewness,0.7466666666666667,"{'C': 0.801236241147824, 'kernel': 'sigmoid', 'gamma': 983.8581851952355, 'degree': 2, 'coef0': 563.4392220197029, 'random_state': 42}"
52,altitude_kurtosis,0.6266666666666667,"{'C': 168.99722275446737, 'kernel': 'rbf', 'gamma': 265.3088107067849, 'degree': 1, 'coef0': 98.90919628981334, 'random_state': 42}"
53,displacement_max,0.6533333333333333,"{'C': 0.40245117773175626, 'kernel': 'sigmoid', 'gamma': 637.5036228691783, 'degree': 4, 'coef0': 51.04217613787407, 'random_state': 42}"
54,displacement_mean,0.7066666666666667,"{'C': 121.43652306702083, 'kernel': 'rbf', 'gamma': 0.06223939457578309, 'degree': 4, 'coef0': 541.5921607361126, 'random_state': 42}"
