,feature,score,param
33,azimuth_max,0.6388888888888888,"{'C': 256.0988216303826, 'kernel': 'rbf', 'gamma': 46.08048855466649, 'degree': 3, 'coef0': 378.05464279356863, 'random_state': 42}"
34,azimuth_min,0.6527777777777778,"{'C': 35.95390027010085, 'kernel': 'sigmoid', 'gamma': 579.9019206342756, 'degree': 1, 'coef0': 592.7414303521062, 'random_state': 42}"
35,azimuth_mean,0.6111111111111112,"{'C': 20.580444417929115, 'kernel': 'sigmoid', 'gamma': 873.4363472522156, 'degree': 1, 'coef0': 634.4032076582448, 'random_state': 42}"
36,azimuth_median,0.5694444444444444,"{'C': 774.3459704228574, 'kernel': 'sigmoid', 'gamma': 803.9930357646209, 'degree': 2, 'coef0': 54.426977275588825, 'random_state': 42}"
37,azimuth_variance,0.6388888888888888,"{'C': 446.4689496354647, 'kernel': 'sigmoid', 'gamma': 751.3919038749304, 'degree': 3, 'coef0': 430.51883345917275, 'random_state': 42}"
38,azimuth_standard_deviation,0.5972222222222222,"{'C': 976.1776622177027, 'kernel': 'sigmoid', 'gamma': 782.2602830506053, 'degree': 3, 'coef0': 456.39901724819975, 'random_state': 42}"
39,azimuth_1st_percentile,0.6666666666666666,"{'C': 858.5507756353607, 'kernel': 'sigmoid', 'gamma': 772.7120133135937, 'degree': 3, 'coef0': 817.5436857046949, 'random_state': 42}"
40,azimuth_99th_percentile,0.8055555555555556,"{'C': 778.8302483364272, 'kernel': 'sigmoid', 'gamma': 861.7618056957768, 'degree': 5, 'coef0': 386.5074706878421, 'random_state': 42}"
41,azimuth_displacement_between_99th_percentile_and_1st_percentile,0.625,"{'C': 78.6555355176742, 'kernel': 'rbf', 'gamma': 468.29801792586443, 'degree': 2, 'coef0': 412.9904468647308, 'random_state': 42}"
42,azimuth_skewness,0.7083333333333334,"{'C': 446.82646908552795, 'kernel': 'sigmoid', 'gamma': 324.5290610242129, 'degree': 2, 'coef0': 695.749744991805, 'random_state': 42}"
43,azimuth_kurtosis,0.6805555555555556,"{'C': 300.09503671031587, 'kernel': 'sigmoid', 'gamma': 973.1296397527443, 'degree': 5, 'coef0': 121.65913055090742, 'random_state': 42}"
44,altitude_max,0.7083333333333334,"{'C': 466.10459394853274, 'kernel': 'sigmoid', 'gamma': 998.8317102416214, 'degree': 3, 'coef0': 209.78076752028363, 'random_state': 42}"
45,altitude_min,0.6527777777777778,"{'C': 420.4185529289269, 'kernel': 'sigmoid', 'gamma': 585.9933518398135, 'degree': 2, 'coef0': 372.75037849476473, 'random_state': 42}"
46,altitude_mean,0.75,"{'C': 0.299796798046883, 'kernel': 'sigmoid', 'gamma': 612.7707909100454, 'degree': 1, 'coef0': 103.14785479906337, 'random_state': 42}"
47,altitude_median,0.6805555555555556,"{'C': 917.8713263269265, 'kernel': 'sigmoid', 'gamma': 817.2084678765474, 'degree': 2, 'coef0': 145.84140448212315, 'random_state': 42}"
48,altitude_variance,0.7916666666666666,"{'C': 0.261765495303095, 'kernel': 'sigmoid', 'gamma': 155.48235699822078, 'degree': 5, 'coef0': 239.05440556749627, 'random_state': 42}"
49,altitude_standard_deviation,0.7916666666666666,"{'C': 189.58096390180225, 'kernel': 'sigmoid', 'gamma': 962.7407537116785, 'degree': 3, 'coef0': 220.29986030702818, 'random_state': 42}"
50,altitude_1st_percentile,0.6527777777777778,"{'C': 21.772809644660022, 'kernel': 'sigmoid', 'gamma': 966.0508104893682, 'degree': 3, 'coef0': 613.2591528023978, 'random_state': 42}"
51,altitude_99th_percentile,0.8055555555555556,"{'C': 477.2370280583666, 'kernel': 'sigmoid', 'gamma': 438.5534682515894, 'degree': 2, 'coef0': 193.4152239195774, 'random_state': 42}"
52,altitude_displacement_between_99th_percentile_and_1st_percentile,0.6666666666666666,"{'C': 577.8774517200392, 'kernel': 'sigmoid', 'gamma': 457.50494872056026, 'degree': 1, 'coef0': 921.04368860834, 'random_state': 42}"
53,altitude_skewness,0.6666666666666666,"{'C': 164.25827358751883, 'kernel': 'sigmoid', 'gamma': 391.45332190742545, 'degree': 2, 'coef0': 827.0934568705196, 'random_state': 42}"
54,altitude_kurtosis,0.6666666666666666,"{'C': 165.14615525209587, 'kernel': 'sigmoid', 'gamma': 370.1040366811811, 'degree': 3, 'coef0': 629.8052458039947, 'random_state': 42}"
55,displacement_max,0.7083333333333334,"{'C': 268.42425226021936, 'kernel': 'sigmoid', 'gamma': 954.2575813567692, 'degree': 4, 'coef0': 193.24980926549134, 'random_state': 42}"
56,displacement_min,0.4722222222222222,"{'C': 650.4365202503486, 'kernel': 'sigmoid', 'gamma': 500.4402460814733, 'degree': 3, 'coef0': 549.3683581284376, 'random_state': 42}"
57,displacement_mean,0.7083333333333334,"{'C': 996.3561270141151, 'kernel': 'sigmoid', 'gamma': 807.1264154370195, 'degree': 1, 'coef0': 59.52353266410306, 'random_state': 42}"
58,displacement_median,0.7361111111111112,"{'C': 157.0240570888855, 'kernel': 'rbf', 'gamma': 31.358817266283534, 'degree': 5, 'coef0': 352.8851340719284, 'random_state': 42}"
59,displacement_variance,0.6666666666666666,"{'C': 775.580820205567, 'kernel': 'sigmoid', 'gamma': 152.96074675340256, 'degree': 3, 'coef0': 396.7691181376238, 'random_state': 42}"
60,displacement_standard_deviation,0.75,"{'C': 267.5839013734249, 'kernel': 'sigmoid', 'gamma': 855.6202119554689, 'degree': 5, 'coef0': 194.95641017997931, 'random_state': 42}"
61,displacement_1st_percentile,0.6666666666666666,"{'C': 748.2811843038147, 'kernel': 'sigmoid', 'gamma': 909.6131785689537, 'degree': 2, 'coef0': 216.54220038610146, 'random_state': 42}"
62,displacement_99th_percentile,0.6388888888888888,"{'C': 995.7421223158234, 'kernel': 'rbf', 'gamma': 15.337006257983006, 'degree': 2, 'coef0': 335.0302696697799, 'random_state': 42}"
63,displacement_displacement_between_99th_percentile_and_1st_percentile,0.6805555555555556,"{'C': 19.39377308851239, 'kernel': 'rbf', 'gamma': 19.355258621779917, 'degree': 5, 'coef0': 165.5706976808163, 'random_state': 42}"
64,displacement_skewness,0.7083333333333334,"{'C': 612.7374155484474, 'kernel': 'sigmoid', 'gamma': 859.5906990645886, 'degree': 3, 'coef0': 511.9135743358959, 'random_state': 42}"
65,displacement_kurtosis,0.5972222222222222,"{'C': 434.8118605148097, 'kernel': 'sigmoid', 'gamma': 423.84067972941943, 'degree': 5, 'coef0': 220.24000775627965, 'random_state': 42}"
66,velocity_max,0.6111111111111112,"{'C': 957.7821815438967, 'kernel': 'rbf', 'gamma': 2.461480540468026, 'degree': 5, 'coef0': 859.5057244458272, 'random_state': 42}"
67,velocity_min,0.4722222222222222,"{'C': 54.4025310646407, 'kernel': 'sigmoid', 'gamma': 417.9749141651705, 'degree': 1, 'coef0': 442.32355374650325, 'random_state': 42}"
