,feature,score,param
0,x_max,0.8266666666666667,"{'C': 656.2590978356246, 'kernel': 'sigmoid', 'gamma': 662.0765473245034, 'degree': 5, 'coef0': 474.55175436960275, 'random_state': 42}"
1,x_min,0.56,"{'C': 894.4822371966151, 'kernel': 'rbf', 'gamma': 896.617802074374, 'degree': 4, 'coef0': 197.21514342067792, 'random_state': 42}"
2,x_mean,0.8666666666666667,"{'C': 463.63537244432285, 'kernel': 'sigmoid', 'gamma': 270.49049391189897, 'degree': 2, 'coef0': 875.3096631769055, 'random_state': 42}"
3,x_median,0.8933333333333333,"{'C': 430.27981346287595, 'kernel': 'sigmoid', 'gamma': 60.50143686575053, 'degree': 1, 'coef0': 250.8746515809558, 'random_state': 42}"
4,x_variance,0.7733333333333333,"{'C': 119.85695365780667, 'kernel': 'sigmoid', 'gamma': 643.9935768084827, 'degree': 4, 'coef0': 238.29990556812413, 'random_state': 42}"
5,x_standard_deviation,0.6933333333333334,"{'C': 784.7917776225496, 'kernel': 'sigmoid', 'gamma': 509.1074246424349, 'degree': 3, 'coef0': 135.6354899525499, 'random_state': 42}"
6,x_1st_percentile,0.6533333333333333,"{'C': 407.79394294768076, 'kernel': 'rbf', 'gamma': 240.75396622325655, 'degree': 4, 'coef0': 554.7887876705822, 'random_state': 42}"
7,x_99th_percentile,0.9066666666666666,"{'C': 291.0867424067656, 'kernel': 'sigmoid', 'gamma': 498.42343204066543, 'degree': 1, 'coef0': 674.6537734583791, 'random_state': 42}"
8,x_displacement_between_99th_percentile_and_1st_percentile,0.7333333333333333,"{'C': 142.4710983502524, 'kernel': 'sigmoid', 'gamma': 452.37190525343624, 'degree': 3, 'coef0': 993.7015089339412, 'random_state': 42}"
9,x_skewness,0.7066666666666667,"{'C': 282.74302057096065, 'kernel': 'rbf', 'gamma': 131.5713141744134, 'degree': 4, 'coef0': 461.3629669376231, 'random_state': 42}"
10,x_kurtosis,0.6533333333333333,"{'C': 3.367250352987206, 'kernel': 'sigmoid', 'gamma': 551.0820446431761, 'degree': 3, 'coef0': 335.0365524413412, 'random_state': 42}"
11,y_max,0.6933333333333334,"{'C': 537.5818016699968, 'kernel': 'sigmoid', 'gamma': 231.31723168514515, 'degree': 3, 'coef0': 69.02922623440624, 'random_state': 42}"
12,y_min,0.76,"{'C': 903.9922030262755, 'kernel': 'sigmoid', 'gamma': 414.7151433717852, 'degree': 5, 'coef0': 269.96033835359634, 'random_state': 42}"
13,y_mean,0.7733333333333333,"{'C': 699.8344924526517, 'kernel': 'sigmoid', 'gamma': 989.0070942440916, 'degree': 1, 'coef0': 511.27555716525757, 'random_state': 42}"
14,y_median,0.7333333333333333,"{'C': 36.66434456722343, 'kernel': 'rbf', 'gamma': 325.0700829740748, 'degree': 1, 'coef0': 205.19457522022986, 'random_state': 42}"
15,y_variance,0.68,"{'C': 28.640906917169758, 'kernel': 'rbf', 'gamma': 326.32606322439744, 'degree': 5, 'coef0': 70.29642047120498, 'random_state': 42}"
